order_year,product_name,current_sales,avg_saels,py_sales,diff_avg,diff_cu_py_sales
2024,All-Purpose Bike Stand,159,13197,NULL,Below avg,No py
2025,All-Purpose Bike Stand,37683,13197,159,Above avg,Increase
2026,All-Purpose Bike Stand,1749,13197,37683,Below avg,Decrease
2024,AWC Logo Cap,72,6570,NULL,Below avg,No py
2025,AWC Logo Cap,18891,6570,72,Above avg,Increase
2026,AWC Logo Cap,747,6570,18891,Below avg,Decrease
2025,Bike Wash - Dissolver,6960,3636,NULL,Above avg,No py
2026,Bike Wash - Dissolver,312,3636,6960,Below avg,Decrease
2025,Classic Vest- L,11968,6240,NULL,Above avg,No py
2026,Classic Vest- L,512,6240,11968,Below avg,Decrease
2025,Classic Vest- M,11840,6368,NULL,Above avg,No py
2026,Classic Vest- M,896,6368,11840,Below avg,Decrease
2024,Classic Vest- S,64,3648,NULL,Below avg,No py
2025,Classic Vest- S,10368,3648,64,Above avg,Increase
2026,Classic Vest- S,512,3648,10368,Below avg,Decrease
2024,Fender Set - Mountain,110,15554,NULL,Below avg,No py
2025,Fender Set - Mountain,44484,15554,110,Above avg,Increase
2026,Fender Set - Mountain,2068,15554,44484,Below avg,Decrease
2024,Half-Finger Gloves- L,24,3544,NULL,Below avg,No py
2025,Half-Finger Gloves- L,10248,3544,24,Above avg,Increase
2026,Half-Finger Gloves- L,360,3544,10248,Below avg,Decrease
2024,Half-Finger Gloves- M,24,3992,NULL,Below avg,No py
2025,Half-Finger Gloves- M,11376,3992,24,Above avg,Increase
2026,Half-Finger Gloves- M,576,3992,11376,Below avg,Decrease
2024,Half-Finger Gloves- S,24,3896,NULL,Below avg,No py
2025,Half-Finger Gloves- S,11064,3896,24,Above avg,Increase
2026,Half-Finger Gloves- S,600,3896,11064,Below avg,Decrease
2025,Hitch Rack - 4-Bike,36840,19620,NULL,Above avg,No py
2026,Hitch Rack - 4-Bike,2400,19620,36840,Below avg,Decrease
2024,HL Mountain Tire,140,16286,NULL,Below avg,No py
2025,HL Mountain Tire,46935,16286,140,Above avg,Increase
2026,HL Mountain Tire,1785,16286,46935,Below avg,Decrease
2024,HL Road Tire,132,9438,NULL,Below avg,No py
2025,HL Road Tire,26532,9438,132,Above avg,Increase
2026,HL Road Tire,1650,9438,26532,Below avg,Decrease
2024,Hydration Pack - 70 oz.,110,13438,NULL,Below avg,No py
2025,Hydration Pack - 70 oz.,38940,13438,110,Above avg,Increase
2026,Hydration Pack - 70 oz.,1265,13438,38940,Below avg,Decrease
2025,LL Mountain Tire,20125,10775,NULL,Above avg,No py
2026,LL Mountain Tire,1425,10775,20125,Below avg,Decrease
2024,LL Road Tire,105,7301,NULL,Below avg,No py
2025,LL Road Tire,20622,7301,105,Above avg,Increase
2026,LL Road Tire,1176,7301,20622,Below avg,Decrease
2024,Long-Sleeve Logo Jersey- L,150,7550,NULL,Below avg,No py
2025,Long-Sleeve Logo Jersey- L,21550,7550,150,Above avg,Increase
2026,Long-Sleeve Logo Jersey- L,950,7550,21550,Below avg,Decrease
2024,Long-Sleeve Logo Jersey- M,50,7366,NULL,Below avg,No py
2025,Long-Sleeve Logo Jersey- M,20850,7366,50,Above avg,Increase
2026,Long-Sleeve Logo Jersey- M,1200,7366,20850,Below avg,Decrease
2025,Long-Sleeve Logo Jersey- S,20350,10725,NULL,Above avg,No py
2026,Long-Sleeve Logo Jersey- S,1100,10725,20350,Below avg,Decrease
2025,Long-Sleeve Logo Jersey- XL,19850,10350,NULL,Above avg,No py
2026,Long-Sleeve Logo Jersey- XL,850,10350,19850,Below avg,Decrease
2024,ML Mountain Tire,30,11600,NULL,Below avg,No py
2025,ML Mountain Tire,32580,11600,30,Above avg,Increase
2026,ML Mountain Tire,2190,11600,32580,Below avg,Decrease
2024,ML Road Tire,50,7708,NULL,Below avg,No py
2025,ML Road Tire,22275,7708,50,Above avg,Increase
2026,ML Road Tire,800,7708,22275,Below avg,Decrease
2024,Mountain Bottle Cage,110,6780,NULL,Below avg,No py
2025,Mountain Bottle Cage,19530,6780,110,Above avg,Increase
2026,Mountain Bottle Cage,700,6780,19530,Below avg,Decrease
2024,Mountain Tire Tube,15,5155,NULL,Below avg,No py
2025,Mountain Tire Tube,14620,5155,15,Above avg,Increase
2026,Mountain Tire Tube,830,5155,14620,Below avg,Decrease
2023,Mountain-100 Black- 38,165375,165375,NULL,No change,No py
2023,Mountain-100 Black- 42,151875,151875,NULL,No change,No py
2023,Mountain-100 Black- 44,202500,202500,NULL,No change,No py
2022,Mountain-100 Black- 48,3375,96187,NULL,Below avg,No py
2023,Mountain-100 Black- 48,189000,96187,3375,Above avg,Increase
2022,Mountain-100 Silver- 38,3400,98600,NULL,Below avg,No py
2023,Mountain-100 Silver- 38,193800,98600,3400,Above avg,Increase
2023,Mountain-100 Silver- 42,142800,142800,NULL,No change,No py
2022,Mountain-100 Silver- 44,10200,83300,NULL,Below avg,No py
2023,Mountain-100 Silver- 44,156400,83300,10200,Above avg,Increase
