product_key,product_name,category,subcategory,last_order,total_customers,total_order,total_quantity,overall_cost,total_sales,lifespan,avg_montly_sales,avg_order_sales,avg_selling_price,product_segment,recency_month,total_profit
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,2011-12-27,49,49,49,93002,165375,11,15034.1,3375,3375,High-performer,171,72373
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,2011-12-27,45,45,45,85410,151875,11,13806.799999999999,3375,3375,High-performer,171,66465
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,2011-12-21,60,60,60,113880,202500,11,18409.099999999999,3375,3375,High-performer,171,88620
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,2011-12-26,57,57,57,108186,192375,12,16031.299999999999,3375,3375,High-performer,171,84189
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,2011-12-22,58,58,58,110896,197200,12,16433.299999999999,3400,3400,High-performer,171,86304
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,2011-12-28,42,42,42,80304,142800,11,12981.799999999999,3400,3400,High-performer,171,62496
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,2011-12-12,49,49,49,93688,166600,12,13883.299999999999,3400,3400,High-performer,171,72912
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,2011-12-23,36,36,36,68832,122400,11,11127.299999999999,3400,3400,High-performer,171,53568
16,Road-150 Red- 44,Bikes,Road Bikes,2011-12-28,281,281,281,610051,1005418,12,83784.800000000003,3578,3578,High-performer,171,395367
17,Road-150 Red- 48,Bikes,Road Bikes,2011-12-28,337,337,337,731627,1205786,12,100482.2,3578,3578,High-performer,171,474159
18,Road-150 Red- 52,Bikes,Road Bikes,2011-12-27,302,302,302,655642,1080556,12,90046.300000000003,3578,3578,High-performer,171,424914
19,Road-150 Red- 56,Bikes,Road Bikes,2011-12-27,295,295,295,640445,1055510,12,87959.199999999997,3578,3578,High-performer,171,415065
20,Road-150 Red- 62,Bikes,Road Bikes,2011-12-28,336,336,336,729456,1202208,12,100184,3578,3578,High-performer,171,472752
36,Road-650 Black- 44,Bikes,Road Bikes,2012-12-26,63,63,63,30681,47565,23,2068,755,755,Mid-Range,159,16884
37,Road-650 Black- 48,Bikes,Road Bikes,2012-12-25,60,60,60,29220,45552,21,2169.0999999999999,759.20000000000005,759.20000000000005,Mid-Range,159,16332
38,Road-650 Black- 52,Bikes,Road Bikes,2012-12-19,89,89,89,43343,66915,23,2909.3000000000002,751.89999999999998,751.89999999999998,High-performer,159,23572
39,Road-650 Black- 58,Bikes,Road Bikes,2012-12-18,76,76,76,37012,57996,23,2521.5999999999999,763.10000000000002,763.10000000000002,High-performer,159,20984
40,Road-650 Black- 60,Bikes,Road Bikes,2012-12-12,76,76,76,37012,57156,22,2598,752.10000000000002,752.10000000000002,High-performer,159,20144
41,Road-650 Black- 62,Bikes,Road Bikes,2012-12-18,65,65,65,31655,49047,24,2043.5999999999999,754.60000000000002,754.60000000000002,Mid-Range,159,17392
42,Road-650 Red- 44,Bikes,Road Bikes,2012-12-25,72,72,72,35064,54528,23,2370.8000000000002,757.29999999999995,757.29999999999995,High-performer,159,19464
43,Road-650 Red- 48,Bikes,Road Bikes,2012-12-27,88,88,88,42856,66720,23,2900.9000000000001,758.20000000000005,758.20000000000005,High-performer,159,23864
44,Road-650 Red- 52,Bikes,Road Bikes,2012-12-21,61,61,61,29707,46083,24,1920.0999999999999,755.5,755.5,Mid-Range,159,16376
45,Road-650 Red- 58,Bikes,Road Bikes,2012-12-18,74,74,74,36038,56346,22,2561.1999999999998,761.39999999999998,761.39999999999998,High-performer,159,20308
46,Road-650 Red- 60,Bikes,Road Bikes,2012-12-23,53,53,53,25811,40071,23,1742.2,756.10000000000002,756.10000000000002,Mid-Range,159,14260
47,Road-650 Red- 62,Bikes,Road Bikes,2012-12-05,75,75,75,36525,57381,23,2494.8000000000002,765.10000000000002,765.10000000000002,High-performer,159,20856
48,Road-250 Red- 44,Bikes,Road Bikes,2012-12-25,144,144,144,218736,351792,12,29316,2443,2443,High-performer,159,133056
49,Road-250 Red- 48,Bikes,Road Bikes,2012-12-24,162,162,162,246078,395766,12,32980.5,2443,2443,High-performer,159,149688
50,Road-250 Red- 52,Bikes,Road Bikes,2012-12-25,133,133,133,202027,324919,12,27076.599999999999,2443,2443,High-performer,159,122892
104,Mountain Bottle Cage,Accessories,Bottles and Cages,2014-01-28,2004,2025,2034,8136,20340,13,1564.5999999999999,10,10,Mid-Range,146,12204
105,Road Bottle Cage,Accessories,Bottles and Cages,2014-01-25,1699,1711,1711,5133,15399,13,1184.5,9,9,Mid-Range,146,10266
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,2013-12-13,48,48,48,14160,25920,12,2160,540,540,Mid-Range,147,11760
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,2013-12-25,49,49,49,14455,26460,11,2405.5,540,540,Mid-Range,147,12005
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,2013-12-25,58,58,58,17110,31320,11,2847.3000000000002,540,540,Mid-Range,147,14210
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,2013-12-26,56,56,56,16520,30240,11,2749.0999999999999,540,540,Mid-Range,147,13720
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,2013-12-24,41,41,41,12095,22140,11,2012.7,540,540,Mid-Range,147,10045
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,2013-12-26,45,45,45,13860,25425,11,2311.4000000000001,565,565,Mid-Range,147,11565
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,2013-12-27,45,45,45,13860,25425,11,2311.4000000000001,565,565,Mid-Range,147,11565
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,2013-12-25,39,39,39,12012,22035,12,1836.3,565,565,Mid-Range,147,10023
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,2013-12-27,50,50,50,15400,28250,11,2568.1999999999998,565,565,Mid-Range,147,12850
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,2013-12-25,48,48,48,14784,27120,11,2465.5,565,565,Mid-Range,147,12336
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,2013-12-27,148,148,148,62160,113812,11,10346.5,769,769,High-performer,147,51652
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,2013-12-24,128,128,128,53760,98432,12,8202.7000000000007,769,769,High-performer,147,44672
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,2013-12-27,129,129,129,54180,99201,11,9018.2999999999993,769,769,High-performer,147,45021
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,2013-12-24,138,138,138,57960,106122,11,9647.5,769,769,High-performer,147,48162
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,2013-12-28,564,581,581,727412,1292559,24,53856.599999999999,2224.6999999999998,2224.6999999999998,High-performer,147,565147
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,2013-12-28,604,614,614,768728,1363128,23,59266.400000000001,2220.0999999999999,2220.0999999999999,High-performer,147,594400
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,2013-12-27,600,620,620,776240,1373454,24,57227.300000000003,2215.1999999999998,2215.1999999999998,High-performer,147,597214
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,2013-12-28,583,596,596,754536,1339394,23,58234.5,2247.3000000000002,2247.3000000000002,High-performer,147,584858
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,2013-12-28,547,560,560,708960,1257368,24,52390.300000000003,2245.3000000000002,2245.3000000000002,High-performer,147,548408
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,2013-12-28,566,579,579,733014,1298709,23,56465.599999999999,2243,2243,High-performer,147,565695
126,Road-750 Black- 44,Bikes,Road Bikes,2013-12-28,360,360,360,123840,194400,12,16200,540,540,High-performer,147,70560
127,Road-750 Black- 48,Bikes,Road Bikes,2013-12-28,363,363,363,124872,196020,12,16335,540,540,High-performer,147,71148
128,Road-750 Black- 52,Bikes,Road Bikes,2013-12-28,386,386,386,132784,208440,12,17370,540,540,High-performer,147,75656
129,Road-750 Black- 58,Bikes,Road Bikes,2013-12-28,334,334,334,114896,180360,12,15030,540,540,High-performer,147,65464
130,Road-550-W Yellow- 38,Bikes,Road Bikes,2013-12-26,267,270,270,192510,293760,24,12240,1088,1088,High-performer,147,101250
131,Road-550-W Yellow- 40,Bikes,Road Bikes,2013-12-28,264,266,266,189658,289880,23,12603.5,1089.8,1089.8,High-performer,147,100222
132,Road-550-W Yellow- 42,Bikes,Road Bikes,2013-12-26,303,306,306,218178,334440,24,13935,1092.9000000000001,1092.9000000000001,High-performer,147,116262
133,Road-550-W Yellow- 44,Bikes,Road Bikes,2013-12-27,286,287,287,204631,312200,23,13573.9,1087.8,1087.8,High-performer,147,107569
134,Road-550-W Yellow- 48,Bikes,Road Bikes,2013-12-27,258,261,261,186093,283680,22,12894.5,1086.9000000000001,1086.9000000000001,High-performer,147,97587
135,Road-350-W Yellow- 40,Bikes,Road Bikes,2013-12-27,246,246,246,266418,418446,12,34870.5,1701,1701,High-performer,147,152028
136,Road-350-W Yellow- 42,Bikes,Road Bikes,2013-12-27,235,235,235,254505,399735,12,33311.300000000003,1701,1701,High-performer,147,145230
137,Road-350-W Yellow- 44,Bikes,Road Bikes,2013-12-27,216,216,216,233928,367416,11,33401.5,1701,1701,High-performer,147,133488
138,Road-350-W Yellow- 48,Bikes,Road Bikes,2013-12-25,232,232,232,251256,394632,12,32886,1701,1701,High-performer,147,143376
139,Road-250 Black- 44,Bikes,Road Bikes,2013-12-27,266,271,271,421405,628384,24,26182.700000000001,2318.8000000000002,2318.8000000000002,High-performer,147,206979
140,Road-250 Black- 48,Bikes,Road Bikes,2013-12-28,289,298,298,463390,691213,23,30052.700000000001,2319.5,2319.5,High-performer,147,227823
141,Road-250 Black- 52,Bikes,Road Bikes,2013-12-25,312,319,319,496045,734425,24,30601,2302.3000000000002,2302.3000000000002,High-performer,147,238380
142,Road-250 Black- 58,Bikes,Road Bikes,2013-12-26,265,270,270,419850,622026,24,25917.799999999999,2303.8000000000002,2303.8000000000002,High-performer,147,202176
143,Road-250 Red- 58,Bikes,Road Bikes,2013-12-27,301,306,306,475830,702666,24,29277.799999999999,2296.3000000000002,2296.3000000000002,High-performer,147,226836
144,Touring-3000 Blue- 44,Bikes,Touring Bikes,2013-12-28,53,53,53,24433,39326,11,3575.0999999999999,742,742,Mid-Range,147,14893
145,Touring-3000 Blue- 50,Bikes,Touring Bikes,2013-12-23,48,48,48,22128,35616,11,3237.8000000000002,742,742,Mid-Range,147,13488
146,Touring-3000 Blue- 54,Bikes,Touring Bikes,2013-12-17,55,55,55,25355,40810,12,3400.8000000000002,742,742,Mid-Range,147,15455
147,Touring-3000 Blue- 58,Bikes,Touring Bikes,2013-12-27,57,57,57,26277,42294,11,3844.9000000000001,742,742,Mid-Range,147,16017
148,Touring-3000 Blue- 62,Bikes,Touring Bikes,2013-12-23,64,64,64,29504,47488,11,4317.1000000000004,742,742,Mid-Range,147,17984
149,Touring-3000 Yellow- 44,Bikes,Touring Bikes,2013-12-28,59,59,59,27199,43778,11,3979.8000000000002,742,742,Mid-Range,147,16579
150,Touring-3000 Yellow- 50,Bikes,Touring Bikes,2013-12-27,59,59,59,27199,43778,11,3979.8000000000002,742,742,Mid-Range,147,16579
151,Touring-3000 Yellow- 54,Bikes,Touring Bikes,2013-12-09,48,48,48,22128,35616,11,3237.8000000000002,742,742,Mid-Range,147,13488
152,Touring-3000 Yellow- 58,Bikes,Touring Bikes,2013-12-27,47,47,47,21667,34874,12,2906.1999999999998,742,742,Mid-Range,147,13207
153,Touring-3000 Yellow- 62,Bikes,Touring Bikes,2013-12-26,50,50,50,23050,37100,11,3372.6999999999998,742,742,Mid-Range,147,14050
154,Touring-2000 Blue- 46,Bikes,Touring Bikes,2013-12-27,97,97,97,73235,117855,12,9821.2999999999993,1215,1215,High-performer,147,44620
155,Touring-2000 Blue- 50,Bikes,Touring Bikes,2013-12-27,106,106,106,80030,128790,12,10732.5,1215,1215,High-performer,147,48760
156,Touring-2000 Blue- 54,Bikes,Touring Bikes,2013-12-28,88,88,88,66440,106920,11,9720,1215,1215,High-performer,147,40480
157,Touring-2000 Blue- 60,Bikes,Touring Bikes,2013-12-28,81,81,81,61155,98415,12,8201.2999999999993,1215,1215,High-performer,147,37260
158,Touring-1000 Blue- 46,Bikes,Touring Bikes,2013-12-23,177,177,177,262314,421968,12,35164,2384,2384,High-performer,147,159654
159,Touring-1000 Blue- 50,Bikes,Touring Bikes,2013-12-28,150,150,150,222300,357600,12,29800,2384,2384,High-performer,147,135300
160,Touring-1000 Blue- 54,Bikes,Touring Bikes,2013-12-27,160,160,160,237120,381440,11,34676.400000000001,2384,2384,High-performer,147,144320
161,Touring-1000 Blue- 60,Bikes,Touring Bikes,2013-12-27,147,147,147,217854,350448,12,29204,2384,2384,High-performer,147,132594
162,Touring-1000 Yellow- 46,Bikes,Touring Bikes,2013-12-28,170,172,172,254904,410048,11,37277.099999999999,2384,2384,High-performer,147,155144
163,Touring-1000 Yellow- 50,Bikes,Touring Bikes,2013-12-23,150,151,151,223782,359984,12,29998.700000000001,2384,2384,High-performer,147,136202
164,Touring-1000 Yellow- 54,Bikes,Touring Bikes,2013-12-27,158,158,158,234156,376672,11,34242.900000000001,2384,2384,High-performer,147,142516
165,Touring-1000 Yellow- 60,Bikes,Touring Bikes,2013-12-23,140,140,140,207480,333760,11,30341.799999999999,2384,2384,High-performer,147,126280
166,AWC Logo Cap,Clothing,Caps,2014-01-28,2132,2190,2190,15330,19710,13,1516.2,9,9,Mid-Range,146,4380
168,Bike Wash - Dissolver,Accessories,Cleaners,2014-01-28,875,908,909,2727,7272,12,606,8,8,Low-performer,146,4545
174,Fender Set - Mountain,Accessories,Fenders,2014-01-28,2110,2121,2121,16968,46662,13,3589.4000000000001,22,22,Mid-Range,146,29694
233,Half-Finger Gloves- L,Clothing,Gloves,2014-01-28,437,443,443,3987,10632,13,817.79999999999995,24,24,Mid-Range,146,6645
234,Half-Finger Gloves- M,Clothing,Gloves,2014-01-28,488,499,499,4491,11976,13,921.20000000000005,24,24,Mid-Range,146,7485
235,Half-Finger Gloves- S,Clothing,Gloves,2014-01-25,478,487,487,4383,11688,13,899.10000000000002,24,24,Mid-Range,146,7305
244,Sport-100 Helmet- Black,Accessories,Helmets,2014-01-28,2024,2085,2085,27105,72975,13,5613.5,35,35,High-performer,146,45870
245,Sport-100 Helmet- Blue,Accessories,Helmets,2014-01-28,2049,2124,2125,27625,74375,13,5721.1999999999998,35,35,High-performer,146,46750
246,Sport-100 Helmet- Red,Accessories,Helmets,2014-01-28,2147,2230,2230,28990,78050,13,6003.8000000000002,35,35,High-performer,146,49060
247,Hydration Pack - 70 oz.,Accessories,Hydration Packs,2014-01-28,719,733,733,15393,40315,13,3101.1999999999998,55,55,Mid-Range,146,24922
248,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,2014-01-28,449,452,453,17214,22650,13,1742.3,50.100000000000001,50,Mid-Range,146,5436
249,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,2014-01-28,436,442,442,16796,22100,13,1700,50,50,Mid-Range,146,5304
250,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,2014-01-28,426,429,429,16302,21450,12,1787.5,50,50,Mid-Range,146,5148
251,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,2014-01-28,409,413,414,15732,20700,12,1725,50.100000000000001,50,Mid-Range,146,4968
259,Patch Kit/8 Patches,Accessories,Tires and Tubes,2014-01-28,2948,3189,3189,3189,6378,13,490.60000000000002,2,2,Low-performer,146,3189
260,Hitch Rack - 4-Bike,Accessories,Bike Racks,2014-01-28,324,327,327,14715,39240,12,3270,120,120,Mid-Range,146,24525
272,Women's Mountain Shorts- L,Clothing,Shorts,2014-01-28,363,363,363,9438,25410,12,2117.5,70,70,Mid-Range,146,15972
273,Women's Mountain Shorts- M,Clothing,Shorts,2014-01-26,352,352,352,9152,24640,12,2053.3000000000002,70,70,Mid-Range,146,15488
274,Women's Mountain Shorts- S,Clothing,Shorts,2014-01-28,304,304,304,7904,21280,12,1773.3,70,70,Mid-Range,146,13376
275,Short-Sleeve Classic Jersey- L,Clothing,Jerseys,2014-01-26,372,374,374,15708,20196,13,1553.5,54,54,Mid-Range,146,4488
276,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,2014-01-27,404,407,407,17094,21978,13,1690.5999999999999,54,54,Mid-Range,146,4884
277,Short-Sleeve Classic Jersey- S,Clothing,Jerseys,2014-01-28,402,406,406,17052,21924,13,1686.5,54,54,Mid-Range,146,4872
278,Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,2014-01-28,405,409,409,17178,22086,12,1840.5,54,54,Mid-Range,146,4908
279,Racing Socks- L,Clothing,Socks,2014-01-27,269,270,270,810,2430,13,186.90000000000001,9,9,Low-performer,146,1620
280,Racing Socks- M,Clothing,Socks,2014-01-28,295,298,298,894,2682,12,223.5,9,9,Low-performer,146,1788
281,All-Purpose Bike Stand,Accessories,Bike Stands,2014-01-28,243,249,249,14691,39591,13,3045.5,159,159,Mid-Range,146,24900
282,LL Mountain Tire,Accessories,Tires and Tubes,2014-01-28,828,860,862,7758,21550,12,1795.8,25.100000000000001,25,Mid-Range,146,13792
283,ML Mountain Tire,Accessories,Tires and Tubes,2014-01-28,1160,1160,1160,12760,34800,13,2676.9000000000001,30,30,Mid-Range,146,22040
284,HL Mountain Tire,Accessories,Tires and Tubes,2014-01-28,1395,1395,1396,18148,48860,13,3758.5,35,35,Mid-Range,146,30712
285,LL Road Tire,Accessories,Tires and Tubes,2014-01-28,1029,1043,1043,8344,21903,13,1684.8,21,21,Mid-Range,146,13559
286,ML Road Tire,Accessories,Tires and Tubes,2014-01-28,890,925,925,8325,23125,13,1778.8,25,25,Mid-Range,146,14800
287,HL Road Tire,Accessories,Tires and Tubes,2014-01-28,820,858,858,10296,28314,13,2178,33,33,Mid-Range,146,18018
288,Touring Tire,Accessories,Tires and Tubes,2014-01-25,920,935,935,10285,27115,13,2085.8000000000002,29,29,Mid-Range,146,16830
289,Mountain Tire Tube,Accessories,Tires and Tubes,2014-01-28,2958,3092,3093,6186,15465,13,1189.5999999999999,5,5,Mid-Range,146,9279
290,Road Tire Tube,Accessories,Tires and Tubes,2014-01-28,2225,2375,2375,2375,9500,13,730.79999999999995,4,4,Low-performer,146,7125
291,Touring Tire Tube,Accessories,Tires and Tubes,2014-01-28,1410,1487,1487,2974,7435,13,571.89999999999998,5,5,Low-performer,146,4461
292,Classic Vest- L,Clothing,Vests,2014-01-28,195,195,195,4680,12480,12,1040,64,64,Mid-Range,146,7800
293,Classic Vest- M,Clothing,Vests,2014-01-27,199,199,199,4776,12736,12,1061.3,64,64,Mid-Range,146,7960
294,Classic Vest- S,Clothing,Vests,2014-01-28,168,168,171,4104,10944,13,841.79999999999995,65.099999999999994,64,Mid-Range,146,6840
295,Water Bottle - 30 oz.,Accessories,Bottles and Cages,2014-01-28,4073,4244,4249,8498,21245,13,1634.2,5,5,Mid-Range,146,12747
